Mots-cles,Scores
policy instruments sustainable,0.6739
instruments sustainable consumption,0.6472
sustainable consumption produ,0.6178
consumption production policy,0.6058
consumption production sustainable,0.5949
production sustainable consumption,0.5919
material economy mf,0.7013
material footprint mf,0.6982
material consumption dmc,0.6782
countries material footprint,0.6594
consumption dmc mf,0.6544
production consumption dmc,0.6096
total material footprint,0.6047
domestic material consumption,0.5979
footprint mf,0.5961
material consumption dmc,0.739
consumption dmc standard,0.6644
production consumption dmc,0.6632
economy dmc measures,0.6475
consumption dmc,0.6437
consumption dmc reports,0.6266
dmc material footprint,0.6152
domestic material consumption,0.607
national economy dmc,0.6057
food loss sdg,0.7654
food loss index,0.744
definitions food loss,0.7183
food loss waste,0.7013
production food loss,0.6994
food losses crop,0.6657
food waste index,0.6631
food waste measurement,0.7783
measurement food waste,0.7752
food waste indicator,0.7619
definitions food waste,0.739
food waste estimates,0.7377
indicator food waste,0.717
waste food associated,0.6981
food waste,0.6882
food waste food,0.6783
food waste generation,0.6616
rotterdam convention designation,0.5722
basel convention rotterdam,0.5656
pollutants stockholm convention,0.5519
reports rotterdam convention,0.5503
meas basel convention,0.5414
basel convention1 designation,0.5385
submitted minamata convention,0.5369
minam ata convention,0.5332
hazardous waste generated,0.7423
waste hazardous waste,0.7358
hazardous waste definition,0.7171
waste considered hazardous,0.6993
environment hazardous waste,0.6815
national recycling rate,0.7555
definitions national recycling,0.7548
waste material recycled,0.7281
recycling total waste,0.7166
recycling rate presented,0.7119
recycling rate,0.7033
composting considered recycling,0.6708
recycling defined,0.6661
sustainability reports purposes,0.6801
reporting sustainability information,0.6668
examining reporting sustainability,0.6585
separate sustainability reports,0.6575
definitions sustainability reports,0.6537
considered reporting sustainability,0.6524
sustainable public procurement,0.6954
corresponding sustainable procurement,0.6823
sustainable procurement criteria,0.6821
procurement spp sustainable,0.6738
public procurement spp,0.6322
spp programme sustainable,0.6182
spp sustainable public,0.596
procurement spp policies,0.5952
procurement spp action,0.5938
education related indicators,0.6492
education sustainable development,0.6339
education systems indicator,0.6176
education 2030 tcg,0.6138
education sustainable,0.6122
indicators sdg education,0.607
education student assessment,0.5503
sdg education 2030,0.543
capacity power plants,0.5832
electricity capacity def,0.5816
concepts electricity capacity,0.5716
defines renewable energy,0.5685
capacity irena statute,0.5665
rated capacity irena,0.5431
electricity renewable energy,0.5407
electrical capacity,0.5327
economic environmental accounting,0.6149
environmental economic accounting,0.6145
environmental accounting 2012,0.5834
expenditure tsa table,0.5821
consumption tsa table,0.5779
sustainability tourism tab,0.5633
tourism satellite accounts,0.5588
economic accounting,0.5524
fossil fuel subsidies,0.6141
expenditure fossil fuels,0.608
fossil fuels indicator,0.551
measure fossil fuel,0.5495
fossil fuels include,0.5427
fossil fuels scope,0.5385
fuel subsidies standardised,0.5341
fuel subsidies context,0.53
scope fossil fuels,0.5298
fossil fuels international,0.5254
