Mots-cles,Scores
population access electricity,0.6854
electricity percentage population,0.6677
access electricity percentage,0.5857
global electrification database,0.5654
africa poverty database,0.5118
electricity expressed percentage,0.5117
electricity access,0.5089
electricity access scenario,0.5029
clean cooking fuels,0.6237
guidelines household fuel,0.6164
fuels considered clean,0.6055
polluting fuel home,0.5982
quality household fuel,0.5887
household fuel combustion,0.5862
fuel used cooking,0.5763
fuels technologies cooking,0.5673
household fuel,0.5609
fuels considered polluting,0.5602
renewable energy consumption,0.6731
renewable waste total,0.6659
final consumption energy,0.6657
energy consumption includes,0.6292
consumption energy derived,0.5951
total final consumption,0.5926
energy intensity defined,0.6352
output total energy,0.5816
defined energy supplied,0.5801
total energy supply,0.5797
energy intensity,0.5795
energy supply defined,0.5752
energy supplied economy,0.5742
energy statistics ires,0.5615
intensity defined energy,0.5485
measure economic output,0.5371
energy generating river,0.5757
geothermal energy generating,0.5462
energy generation programmes,0.5456
generation renewable sources,0.5434
energy generation renewable,0.5433
energy use geothermal,0.54
geothermal energy use,0.5377
renewable energy generation,0.5296
electricity capacity defined,0.6329
capacity power plants,0.575
concepts electricity capacity,0.5668
defines renewable energy,0.5635
capacity irena statute,0.5469
electricity renewable energy,0.5343
electrical capacity,0.5191
renewable energy include,0.5186
