Mots-cles,Scores,cibles
affected number people,0.5859,01
directly affected disasters,0.5793,01
affected disasters,0.579,01
affected people suffered,0.5698,01
people died disaster,0.5599,01
indirectly affected people,0.5519,01
number people suffered,0.5416,01
death number people,0.5115,01
sendai framework indicators,0.6606,01
disaster risk reduction,0.5278,01
indicators measure global,0.5149,01
agreements sendai framework,0.4974,01
indicators,0.4891,01
framework indicators eventually,0.4884,01
reflect agreements sendai,0.4833,01
sendai framework,0.4746,01
disaster risk reduction,0.7379,01
2030 disaster risk,0.6581,01
relating disaster risk,0.6482,01
policy disaster risk,0.6377,01
integrate disaster risk,0.6162,01
global policy disaster,0.614,01
2015 2030 disaster,0.5705,01
risk reduction 2015,0.5678,01
ndcs paris agreement,0.6656,02
definitions ndcs paris,0.6056,02
contributions ndcs intends,0.577,02
ndcs intends achieve,0.5679,02
ndcs including mitigation,0.5351,02
ndcs accordance article,0.5307,02
ndcs intends,0.5246,02
measures paris agreement,0.5188,02
strategies paris agreement,0.5148,02
ghg inventories climate,0.5797,02
climate change convention,0.5657,02
climate change secretariat,0.547,02
nhouse gas ghg,0.5406,02
submit national ghg,0.5298,02
provided annual ghg,0.5264,02
gas ghg emissions,0.5235,02
national ghg inventories,0.521,02
greenhouse gas inventories,0.5196,02
greenhouse gas,0.5171,02
education related indicators,0.6417,03
education sustainable development,0.6397,03
education 2030 tcg,0.621,03
education sustainable,0.6135,03
education systems indicator,0.6089,03
indicators sdg education,0.6043,03
sdg education 2030,0.5566,03
education student assessment,0.5479,03
climate finance flows,0.595,0a
reporting climate finance,0.5834,0a
commitment data unfccc,0.5827,0a
climate specific financial,0.5571,0a
definitions climate finance,0.5441,0a
overview climate finance,0.5422,0a
climate finance decision,0.5398,0a
climate finance including,0.533,0a
contributions ndcs intends,0.6095,0b
ndcs intends achieve,0.5906,0b
ndcs accordance article,0.5802,0b
ndcs including mitigation,0.5734,0b
ndcs intends,0.5494,0b
ndcs accordance,0.5316,0b
determined contributions ndcs,0.5193,0b
org ldcs ndcs,0.5117,0b
