ODD;Cible;Indicateur;Mots-cles
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-01 : By 2030, achieve universal and equitable access to safe and affordable drinking water for all;Indicateur 06-01-01 : Proportion of population using safely managed drinking water services;accessible on premises
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-01 : By 2030, achieve universal and equitable access to safe and affordable drinking water for all;Indicateur 06-01-01 : Proportion of population using safely managed drinking water services;available when needed
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;pour flush
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;septic tank
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;pit latrine
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;composting toilets
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;container based sanitation
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;shared facilities
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;basic sanitation services
ODD06 : Ensure availability and sustainable management of water and sanitation for all;Cible 06-02 : By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations;Indicateur 06-02-01 : Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water;limited sanitation service
