ODD;Cible;Indicateur;Mots-cles
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round;Indicateur 02-01-01 : Prevalence of undernourishment;insufficient food intake
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round;Indicateur 02-01-01 : Prevalence of undernourishment;nutritional status
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round;Indicateur 02-01-02 : Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES);food insecurity
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round;Indicateur 02-01-02 : Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES);measurement scale.
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons;Indicateur 02-02-03 : Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage);iron deficiency
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons;Indicateur 02-02-03 : Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage);iron deficiency anaemia
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;genetic resources
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;ex situ
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;in situ
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;breeding programmes
