ODD;Cible;Indicateur;Mots-cles
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-01 : By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums;Indicateur 11-01-01 : Proportion of urban population living in slums, informal settlements or inadequate housing;informal settlements
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-01 : By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums;Indicateur 11-01-01 : Proportion of urban population living in slums, informal settlements or inadequate housing;structural quality
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;public transport
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;walking distance
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;street network
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;population density
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;population size
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;public transport modes
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;paratransit networks
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;transport routes
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;network analysis
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;pedestrian access/walking distance
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-02 : By 2030, provide access to safe, affordable, accessible and sustainable transport systems for all, improving road safety, notably by expanding public transport, with special attention to the needs of those in vulnerable situations, women, children, persons with disabilities and older persons;Indicateur 11-02-01 : Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities;street design
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-01 : Ratio of land consumption rate to population growth rate;land consumption rate
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-01 : Ratio of land consumption rate to population growth rate;built-up area
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;civil society
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;urban planning
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;capacity building
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;marginalized groups
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;participatory governance
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;democratic participation
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;direct participation
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;regular participation
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;urban management
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-03 : By 2030, enhance inclusive and sustainable urbanization and capacity for participatory, integrated and sustainable human settlement planning and management in all countries;Indicateur 11-03-02 : Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically;budget decision making
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);cultural heritage
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);natural heritage
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);public expenditure
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);direct public expenditure
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);indirect public expenditures
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);national/federal level
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);regional/state/provincial level
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);local/municipal level
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);private heritage expenditure
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);donations by individuals
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);corporate sponsorships
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-04 : Strengthen efforts to protect and safeguard the world’s cultural and natural heritage;Indicateur 11-04-01 : Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal);total heritage expenditure
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-05 : By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations;Indicateur 11-05-01 : Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population;directly affected
ODD11 : Make cities and human settlements inclusive, safe, resilient and sustainable;Cible 11-05 : By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations;Indicateur 11-05-02 : Direct economic loss attributed to disasters in relation to global gross domestic product (GDP);economic loss
