ODD,Cible,Mots-cles
02,01,dietary energy levels
02,01,habitual food consumption
02,01,dietary requirements
02,01,regular basis
02,01,food security
02,01,reference period
02,01,latent trait
02,01,global reference scale
02,01,access to food
02,01,social protection
02,02,child growth standards
02,02,world bank
02,02,household surveys
02,02,child growth standards
02,02,weight for height
02,02,standard deviation
02,02,sustainable development go
02,02,percentage with overweight
02,02,weight for length
02,02,normes de croissance
02,02,world bank
02,02,modelled estimates
02,02,primary data sources
02,02,household surveys
02,02,child nutrition
02,02,joint child malnutrition
02,02,world bank
02,02,sdg indicator
02,02,household surveys
02,02,primary sources
02,02,child growth standards
02,02,sdg indicator
02,02,weight for height
02,02,blood haemoglobin
02,02,cut-off values
02,02,sustainable development goals
02,02,iron deficiency
02,02,normal physiological function
02,02,iron deficiency
02,02,whole blood
02,03,agricultural production
02,03,small-scale food producers
02,03,food producers
02,03,sustainable development goals
02,03,land size
02,03,cumulative distribution
02,03,national level
02,03,first two quintiles
02,03,bottom 40 percent
02,03,number of livestock
02,03,production unit
02,03,tropical livestock un
02,03,agricultural activities
02,03,economic revenue
02,03,production unit
02,03,cumulative distribution
02,03,national level
02,03,annual revenue
02,03,bottom 40%
02,03,small-scale food producers
02,03,metabolic weight equivalent
02,03,conversion factor
02,03,sdg indicator
02,03,on-farm production activities
02,03,crop production
02,03,livestock production
02,03,annual income
02,03,food producers
02,03,sustainable development goals
02,03,land size
02,03,cumulative distribution
02,03,national level
02,03,first two quintiles
02,03,bottom 40 percent
02,03,number of livestock
02,03,production unit
02,03,tropical livestock un
02,03,agricultural activities
02,03,economic revenue
02,03,production unit
02,03,cumulative distribution
02,03,national level
02,03,annual revenue
02,03,bottom 40%
02,03,small-scale food producers
02,03,metabolic weight equivalent
02,03,conversion factor
02,03,operating costs
02,04,agricultural land area
02,04,farm holding
02,04,sustainable development goals
02,04,climate change
02,04,renewable energy
02,04,carbon emissions
02,04,greenhouse gases
02,04,food security
02,04,climate change
02,04,rural development
02,04,farm holding
02,04,common land
02,04,non-food crops
02,04,sustainable development goals
02,04,land area
02,04,rice-fish farming
02,04,sustainable development goals
02,04,land use
02,04,climate change
02,04,land use
02,04,food security
02,04,water scarcity
02,04,biodiversity conservation
02,04,hobby farms
02,04,climate change
02,04,renewable energy
02,04,carbon sequestration
02,04,wild food
02,04,literature review
02,04,sustainable agriculture
02,04,multi-dimensional concept
02,04,indicator construction
02,04,sdg indicator 2.4.1
02,04,sdg 2.4.1
02,04,consultative process
02,04,identified themes
02,04,sustainable development goals
02,04,detailed description
02,04,meaningful context
02,04,derived solely
02,04,external references
02,04,sustainable agriculture
02,04,sdg target 2.4
02,04,resilient agricultural practices
02,04,land and
02,05,genetic resources
02,05,ex situ
02,05,in genebanks
02,05,breeding programmes
02,05,genetic diversity
02,05,in situ
02,05,food security
02,05,genetic diversity
02,05,climate change
02,05,biodiversity conservation
02,05,poverty reduction
02,05,wild population
02,05,short-term storage
02,05,medium-term storage
02,05,biological diversity
02,05,plant genetic resources
02,05,cold rooms
02,05,genetic resources
02,05,genetic diversity
02,05,genetic diversity
02,05,food security
02,05,climate change
02,05,ecosystem services
02,05,genetic resources
02,05,domestic animals
02,05,in vivo
02,05,local livestock breeds
02,05,risk status
02,05,sustainable development goals
02,05,target 15
02,05,aichi target 13
02,0A,government expenditure
02,0A,value added share
02,0A,non-financial assets
02,0A,supporting sectors
02,0A,climate change
02,0A,poverty reduction
02,0A,social protection
02,0A,gender equality
02,0A,official flows
02,0A,food security
02,0A,multilateral institutions
02,0A,official agencies
02,0A,state governments
02,0A,local governments
02,0A,executive agencies
02,0A,economic development
02,0A,developing countries
02,0A,sustainable development goals
02,0A,official sector
02,0A,export credits
02,0A,sustainable development goals
02,0A,climate change
02,0A,gender equality
02,0A,sector codes
02,0A,purpose codes
02,0B,climate change
02,0B,renewable energy
02,0B,carbon emissions
02,0B,greenhouse gases
02,0B,export subsidies
02,0B,part iv
02,0B,export subsidies
02,0B,developing countries
02,0B,sustainable development goals
02,0B,budgetary outlays
02,0B,notification practices
02,0B,part iv
02,0B,developing country members
02,0C,agricultural markets
02,0C,steady rate of
02,0C,climate change
02,0C,poverty reduction
02,0C,clean energy
02,0C,gender equality
02,0C,access to water
02,0C,disaster risk
02,0C,renewable energy
02,0C,carbon emissions
02,0C,greenhouse gases
02,0C,compound growth rate
02,0C,sustainable development goals
02,0C,greenhouse gases
