ODD,Cible,Indicateur,Mots-cles
ODD04,Cible 04-01,Indicateur 04-01-01,young people
ODD04,Cible 04-01,Indicateur 04-01-01,proficiency level
ODD04,Cible 04-01,Indicateur 04-01-01,primary education
ODD04,Cible 04-01,Indicateur 04-01-01,gender equality
ODD04,Cible 04-01,Indicateur 04-01-01,clean water
ODD04,Cible 04-01,Indicateur 04-01-01,learning assessments
ODD04,Cible 04-01,Indicateur 04-01-01,cross-national assessments
ODD04,Cible 04-01,Indicateur 04-01-01,regional tests
ODD04,Cible 04-01,Indicateur 04-01-01,learning assessment
ODD04,Cible 04-01,Indicateur 04-01-01,proficiency levels
ODD04,Cible 04-01,Indicateur 04-01-02,young people
ODD04,Cible 04-01,Indicateur 04-01-02,intended age
ODD04,Cible 04-01,Indicateur 04-01-02,completed grade
ODD04,Cible 04-01,Indicateur 04-01-02,full-time study
ODD04,Cible 04-01,Indicateur 04-01-02,grade progression
ODD04,Cible 04-01,Indicateur 04-01-02,repeating grades
ODD04,Cible 04-01,Indicateur 04-01-02,skipping grades
ODD04,Cible 04-01,Indicateur 04-01-02,primary education
ODD04,Cible 04-01,Indicateur 04-01-02,age group
ODD04,Cible 04-01,Indicateur 04-01-02,completion rate
ODD04,Cible 04-02,Indicateur 04-02-01,psychosocial well-being
ODD04,Cible 04-02,Indicateur 04-02-01,executive functioning
ODD04,Cible 04-02,Indicateur 04-02-01,emotional skills
ODD04,Cible 04-02,Indicateur 04-02-01,social skills
ODD04,Cible 04-02,Indicateur 04-02-01,internalizing behavior
ODD04,Cible 04-02,Indicateur 04-02-01,externalizing behavior
ODD04,Cible 04-02,Indicateur 04-02-01,developmental outcomes
ODD04,Cible 04-02,Indicateur 04-02-01,developmental milestones
ODD04,Cible 04-02,Indicateur 04-02-02,organized learning
ODD04,Cible 04-02,Indicateur 04-02-02,primary education
ODD04,Cible 04-02,Indicateur 04-02-02,age range
ODD04,Cible 04-02,Indicateur 04-02-02,combination programmes
ODD04,Cible 04-02,Indicateur 04-02-02,coherent set
ODD04,Cible 04-02,Indicateur 04-02-02,educational activities
ODD04,Cible 04-02,Indicateur 04-02-02,holistic approach
ODD04,Cible 04-02,Indicateur 04-02-02,fundamental skills
ODD04,Cible 04-02,Indicateur 04-02-02,national legislation
ODD04,Cible 04-02,Indicateur 04-02-02,primary education
ODD04,Cible 04-02,Indicateur 04-02-02,global level
ODD04,Cible 04-03,Indicateur 04-03-01,age range
ODD04,Cible 04-03,Indicateur 04-03-01,formal education
ODD04,Cible 04-03,Indicateur 04-03-01,non-formal education
ODD04,Cible 04-03,Indicateur 04-03-01,young people
ODD04,Cible 04-04,Indicateur 04-04-01,ict skills
ODD04,Cible 04-04,Indicateur 04-04-01,skill areas
ODD04,Cible 04-04,Indicateur 04-04-01,computer-related activities
ODD04,Cible 04-04,Indicateur 04-04-01,response categories
ODD04,Cible 04-04,Indicateur 04-04-01,digital literacy
ODD04,Cible 04-04,Indicateur 04-04-01,ict infrastructure
ODD04,Cible 04-04,Indicateur 04-04-01,digital inclusion
ODD04,Cible 04-04,Indicateur 04-04-01,digital innovation
ODD04,Cible 04-04,Indicateur 04-04-01,digital transformation
ODD04,Cible 04-04,Indicateur 04-04-01,climate change
ODD04,Cible 04-04,Indicateur 04-04-01,renewable energy
ODD04,Cible 04-04,Indicateur 04-04-01,resource management
ODD04,Cible 04-04,Indicateur 04-04-01,waste reduction
ODD04,Cible 04-04,Indicateur 04-04-01,poverty reduction
ODD04,Cible 04-04,Indicateur 04-04-01,gender equality
ODD04,Cible 04-04,Indicateur 04-04-01,attached files
ODD04,Cible 04-04,Indicateur 04-04-01,basic arithmetic
ODD04,Cible 04-04,Indicateur 04-04-01,energy efficiency
ODD04,Cible 04-04,Indicateur 04-04-01,renewable energy
ODD04,Cible 04-04,Indicateur 04-04-01,carbon footprint
ODD04,Cible 04-04,Indicateur 04-04-01,waste reduction
ODD04,Cible 04-04,Indicateur 04-04-01,resource conservation
ODD04,Cible 04-04,Indicateur 04-04-01,poverty reduction
ODD04,Cible 04-04,Indicateur 04-04-01,gender equality
ODD04,Cible 04-04,Indicateur 04-04-01,energy efficiency
ODD04,Cible 04-04,Indicateur 04-04-01,programming language
ODD04,Cible 04-04,Indicateur 04-04-01,computer program
ODD04,Cible 04-04,Indicateur 04-04-01,embedded computing
ODD04,Cible 04-04,Indicateur 04-04-01,multiple responses
ODD04,Cible 04-04,Indicateur 04-04-01,carried out
ODD04,Cible 04-04,Indicateur 04-04-01,climate change
ODD04,Cible 04-04,Indicateur 04-04-01,poverty reduction
ODD04,Cible 04-04,Indicateur 04-04-01,gender equality
ODD04,Cible 04-04,Indicateur 04-04-01,clean water
ODD04,Cible 04-04,Indicateur 04-04-01,green economy
ODD04,Cible 04-04,Indicateur 04-04-01,digital format
ODD04,Cible 04-04,Indicateur 04-04-01,electronic books
ODD04,Cible 04-04,Indicateur 04-04-01,disease prevention
ODD04,Cible 04-04,Indicateur 04-04-01,injury treatment
ODD04,Cible 04-04,Indicateur 04-04-01,public health
ODD04,Cible 04-04,Indicateur 04-04-01,medical research
ODD04,Cible 04-04,Indicateur 04-04-01,health education
ODD04,Cible 04-04,Indicateur 04-04-01,community development
ODD04,Cible 04-04,Indicateur 04-04-01,economic growth
ODD04,Cible 04-04,Indicateur 04-04-01,social justice
ODD04,Cible 04-04,Indicateur 04-04-01,messaging service
ODD04,Cible 04-04,Indicateur 04-04-01,video calling
ODD04,Cible 04-04,Indicateur 04-04-01,civic issues
ODD04,Cible 04-04,Indicateur 04-04-01,political issues
ODD04,Cible 04-04,Indicateur 04-04-01,poverty reduction
ODD04,Cible 04-04,Indicateur 04-04-01,digital environment
ODD04,Cible 04-04,Indicateur 04-04-01,climate change
ODD04,Cible 04-04,Indicateur 04-04-01,poverty reduction
ODD04,Cible 04-04,Indicateur 04-04-01,digital environments
ODD04,Cible 04-04,Indicateur 04-04-01,computer software
ODD04,Cible 04-04,Indicateur 04-04-01,app development
ODD04,Cible 04-04,Indicateur 04-04-01,clean water
ODD04,Cible 04-04,Indicateur 04-04-01,renewable energy
ODD04,Cible 04-04,Indicateur 04-04-01,green technology
ODD04,Cible 04-04,Indicateur 04-04-01,carbon emissions
ODD04,Cible 04-04,Indicateur 04-04-01,climate change
ODD04,Cible 04-04,Indicateur 04-04-01,resource management
ODD04,Cible 04-04,Indicateur 04-04-01,carbon footprint
ODD04,Cible 04-04,Indicateur 04-04-01,environmental protection
ODD04,Cible 04-04,Indicateur 04-04-01,green finance
ODD04,Cible 04-04,Indicateur 04-04-01,social responsibility
ODD04,Cible 04-04,Indicateur 04-04-01,ethical sourcing
ODD04,Cible 04-04,Indicateur 04-04-01,fair trade
ODD04,Cible 04-04,Indicateur 04-04-01,carbon emissions
ODD04,Cible 04-04,Indicateur 04-04-01,environmental protection
ODD04,Cible 04-04,Indicateur 04-04-01,greenhouse gases
ODD04,Cible 04-04,Indicateur 04-04-01,security measures
ODD04,Cible 04-04,Indicateur 04-04-01,strong passwords
ODD04,Cible 04-04,Indicateur 04-04-01,log-in attempts
ODD04,Cible 04-04,Indicateur 04-04-01,online accounts
ODD04,Cible 04-04,Indicateur 04-04-01,privacy settings
ODD04,Cible 04-04,Indicateur 04-04-01,personal data
ODD04,Cible 04-04,Indicateur 04-04-01,information sharing
ODD04,Cible 04-04,Indicateur 04-04-01,limiting sharing
ODD04,Cible 04-04,Indicateur 04-04-01,community development
ODD04,Cible 04-04,Indicateur 04-04-01,economic growth
ODD04,Cible 04-04,Indicateur 04-04-01,skill levels
ODD04,Cible 04-04,Indicateur 04-04-01,skill areas
ODD04,Cible 04-05,Indicateur 04-05-01,parity indices
ODD04,Cible 04-05,Indicateur 04-05-01,climate change
ODD04,Cible 04-05,Indicateur 04-05-01,poverty reduction
ODD04,Cible 04-05,Indicateur 04-05-01,clean water
ODD04,Cible 04-05,Indicateur 04-05-01,gender equality
ODD04,Cible 04-05,Indicateur 04-05-01,disaster risk
ODD04,Cible 04-06,Indicateur 04-06-01,global reporting
ODD04,Cible 04-06,Indicateur 04-06-01,learning assessments
ODD04,Cible 04-06,Indicateur 04-06-01,basic knowledge
ODD04,Cible 04-06,Indicateur 04-06-01,domain literacy
ODD04,Cible 04-06,Indicateur 04-06-01,functional literacy
ODD04,Cible 04-06,Indicateur 04-06-01,functional numeracy
ODD04,Cible 04-06,Indicateur 04-06-01,unesco definitions
ODD04,Cible 04-06,Indicateur 04-06-01,effective functioning
ODD04,Cible 04-06,Indicateur 04-06-01,community development
ODD04,Cible 04-07,Indicateur 04-07-01,teacher training
ODD04,Cible 04-07,Indicateur 04-07-01,teacher education
ODD04,Cible 04-07,Indicateur 04-07-01,student assessment
ODD04,Cible 04-07,Indicateur 04-07-01,combined score
ODD04,Cible 04-07,Indicateur 04-07-01,global indic
ODD04,Cible 04-07,Indicateur 04-07-01,shared planet
ODD04,Cible 04-07,Indicateur 04-07-01,environmental integrity
ODD04,Cible 04-07,Indicateur 04-07-01,economic viability
ODD04,Cible 04-07,Indicateur 04-07-01,just society
ODD04,Cible 04-07,Indicateur 04-07-01,cultural diversity
ODD04,Cible 04-0A,Indicateur 04-0A-01,climate change
ODD04,Cible 04-0A,Indicateur 04-0A-01,lower secondary
ODD04,Cible 04-0A,Indicateur 04-0A-01,upper secondary
ODD04,Cible 04-0A,Indicateur 04-0A-01,grid/mains connection
ODD04,Cible 04-0A,Indicateur 04-0A-01,fuel-powered generator
ODD04,Cible 04-0A,Indicateur 04-0A-01,sustainable use
ODD04,Cible 04-0A,Indicateur 04-0A-01,information sharing
ODD04,Cible 04-0A,Indicateur 04-0A-01,desktop computer
ODD04,Cible 04-0A,Indicateur 04-0A-01,handheld computer
ODD04,Cible 04-0A,Indicateur 04-0A-01,touch screen
ODD04,Cible 04-0A,Indicateur 04-0A-01,physical keyboard
ODD04,Cible 04-0A,Indicateur 04-0A-01,adapted infrastructure
ODD04,Cible 04-0A,Indicateur 04-0A-01,education facilities
ODD04,Cible 04-0A,Indicateur 04-0A-01,learning materials
ODD04,Cible 04-0A,Indicateur 04-0A-01,assistive products
ODD04,Cible 04-0A,Indicateur 04-0A-01,functioning limitations
ODD04,Cible 04-0A,Indicateur 04-0A-01,school environment
ODD04,Cible 04-0A,Indicateur 04-0A-01,simplified formats
ODD04,Cible 04-0A,Indicateur 04-0A-01,drinking water
ODD04,Cible 04-0A,Indicateur 04-0A-01,water points
ODD04,Cible 04-0A,Indicateur 04-0A-01,school hours
ODD04,Cible 04-0B,Indicateur 04-0B-01,climate change
ODD04,Cible 04-0B,Indicateur 04-0B-01,multilateral institutions
ODD04,Cible 04-0B,Indicateur 04-0B-01,official agencies
ODD04,Cible 04-0B,Indicateur 04-0B-01,state governments
ODD04,Cible 04-0B,Indicateur 04-0B-01,local governments
ODD04,Cible 04-0B,Indicateur 04-0B-01,executive agencies
ODD04,Cible 04-0B,Indicateur 04-0B-01,economic development
ODD04,Cible 04-0B,Indicateur 04-0B-01,developing countries
ODD04,Cible 04-0B,Indicateur 04-0B-01,financial aid
ODD04,Cible 04-0B,Indicateur 04-0B-01,individual students
ODD04,Cible 04-0B,Indicateur 04-0B-01,higher education
ODD04,Cible 04-0B,Indicateur 04-0B-01,full-time studies
ODD04,Cible 04-0B,Indicateur 04-0B-01,tuition costs
ODD04,Cible 04-0B,Indicateur 04-0B-01,training costs
ODD04,Cible 04-0B,Indicateur 04-0B-01,developing countries
ODD04,Cible 04-0B,Indicateur 04-0B-01,donor country
ODD04,Cible 04-0C,Indicateur 04-0C-01,teacher training
ODD04,Cible 04-0C,Indicateur 04-0C-01,organized pedagogy
ODD04,Cible 04-0C,Indicateur 04-0C-01,relevant level
