Mots-cles,Scores,Cibles
location data,0.5039,01
population data,0.5087,01
geospatial data,0.5125,01
countries census,0.5142,01
rural population,0.5237,01
passenger volumes,0.5048,01
tonne kilometres,0.515,01
measured passenger,0.5261,01
freight indicator,0.5577,01
traffic measured,0.5677,01
transport standards,0.5684,01
gross value,0.5015,02
gdp estimated,0.5303,02
definitions manufacturing,0.5347,02
labour statisticians,0.5268,02
work distinction,0.5342,02
employment total,0.5359,02
definitions small,0.5022,03
industries defined,0.5109,03
enterprise smallest,0.5545,03
define enterprise,0.5564,03
enterprise smallest,0.5592,03
define enterprise,0.5611,03
estimates co2,0.5028,04
refers industries,0.5091,04
oecd frascati,0.5513,05
defines oda,0.5406,0A
industry mva,0.5044,0B
mht industry,0.5391,0B
refers industries,0.5439,0B
technology sectors,0.5658,0B
range 3g,0.511,0C
population covered,0.5227,0C
lte population,0.5735,0C
