ODD,Cible,Indicateur,Mots-cles
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicateur 02-01-01 : Prevalence of undernourishment,dietary requirements
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicateur 02-01-01 : Prevalence of undernourishment,regular basis
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Indicateur 02-01-02 : Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",food security
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Indicateur 02-01-02 : Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",reference period
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Indicateur 02-01-02 : Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",latent trait
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-01 : By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Indicateur 02-01-02 : Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",social protection
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicateur 02-02-01 : Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,world bank
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicateur 02-02-01 : Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,household surveys
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",standard deviation
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",world bank
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",modelled estimates
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",household surveys
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",child nutrition
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",world bank
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",household surveys
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-02 : Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",primary sources
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-03 : Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",blood haemoglobin
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-03 : Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",cut-off values
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-03 : Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",iron deficiency
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-02 : By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Indicateur 02-02-03 : Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",whole blood
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,agricultural production
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,land size
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,cumulative distribution
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,national level
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,production unit
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,agricultural activities
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,economic revenue
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,production unit
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,cumulative distribution
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,national level
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,annual revenue
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicateur 02-03-01 : Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,conversion factors
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Indicateur 02-03-02 : Average income of small-scale food producers, by sex and indigenous status",crop production
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Indicateur 02-03-02 : Average income of small-scale food producers, by sex and indigenous status",livestock production
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Indicateur 02-03-02 : Average income of small-scale food producers, by sex and indigenous status",annual income
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Indicateur 02-03-02 : Average income of small-scale food producers, by sex and indigenous status",land size
"ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Cible 02-03 : By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Indicateur 02-03-02 : Average income of small-scale food producers, by sex and indigenous status",cumulative distribution
