ODD,Cible,Indicateur,Mots-cles
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",climate change
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",legal frameworks
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",gender equality
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",gender equality
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",legal frameworks
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",public life
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",gender equality
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",human rights
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",customary law
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",personal law
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",equal rights
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",public office
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",political office
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",national parliament
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",equal rights
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",women's commission
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",legal aid
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",criminal matters
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",civil matters
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",family matters
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",evidentiary weight
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",gender equality
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",gender statistics
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",political parties
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",women candidates
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",women's rights
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",domestic violence
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",honor crimes
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",physical force
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",marital rape
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",sexual harassment
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",government entities
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",budgetary commitments
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",non-governmental organizations
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",budgetary commitments
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",review implementation
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",economic benefits
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",equal remuneration
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",women's rights
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",hazardous jobs
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",arduous jobs
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",night shifts
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",maternity leave
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",parental leave
ODD05 : Achieve gender equality and empower all women and girls,Cible 05-01 : End all forms of discrimination against all women and girls everywhere,"Indicateur 05-01-01 : Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex",ilo standards
