ODD,Cible,Indicateur,Mots-cles
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",young people
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",proficiency level
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",primary education
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",consensus building
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",learning assessments
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",verbal definition
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",learning assessment
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",proficiency levels
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",cross-national assessments
ODD04 : Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"Cible 04-01 : By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","Indicateur 04-01-01 : Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",regional tests
